2022-05-08T06:12:19.155881700Z,BTC-USD,37144685392,34539.68
2022-05-08T06:12:21.322102100Z,BTC-USD,37144687180,34537.16
2022-05-08T06:12:23.966152900Z,BTC-USD,37144687988,34537.92
2022-05-08T06:12:26.913553900Z,BTC-USD,37144688581,34537.93
2022-05-08T06:12:29.899168200Z,BTC-USD,37144689084,34536.09
2022-05-08T06:12:32.390754200Z,BTC-USD,37144689543,34539.46
2022-05-08T06:12:34.701021700Z,BTC-USD,37144689947,34539.47
2022-05-08T06:12:37.171312100Z,BTC-USD,37144690461,34539.47
2022-05-08T06:12:40.392378600Z,BTC-USD,37144691002,34540.92
2022-05-08T06:12:42.650910100Z,BTC-USD,37144691416,34541.04
